name,address,tel,kind,enabletime,email
基隆仁義店,基隆市信義區仁一路27號1樓,02-66375181,ok,24hr,
基隆安樂店,基隆市安樂區安樂路二段122號,02-66375109,ok,24hr,
基隆深溪店,基隆市中正區新豐街389號1樓,02-66375892,ok,24hr,
基隆新三益店,基隆市中正區中船路18號1樓,02-66376715,ok,24hr,
基隆文昌店,基隆市仁愛區孝三路54.56號,02-66375159,ok,24hr,
基隆樂一店,基隆市安樂區樂一路26號,02-66375167,ok,24hr,
基隆英仁店,基隆市仁愛區南榮路387號,02-66375160,ok,24hr,
基隆泰安店,基隆市七堵區泰安路23-12號,02-66377278,ok,24hr,
基隆成功店,基隆市仁愛區成功一路43.45號,02-66375136,ok,24hr,
基隆華三店,基隆市仁愛區華三街20號,02-66375127,ok,24hr,
基隆華城店,基隆市暖暖區碇內街210、212號,02-66378215,ok,24hr,
基隆興寮店,基隆市安樂區基金一路112巷110弄15之10號,02-66377344,ok,24hr,
基隆中和店,基隆市中山區中和路166-6號,02-66375149,ok,24hr,
基隆東新店,基隆市七堵區東新街67、69號,02-66377334,ok,24hr,
基隆安一店,基隆市安樂區安一路228號,02-66375150,ok,24hr,
基隆孝德店,基隆市信義區深澳坑路1之56號1樓,02-66375578,ok,24hr,
基隆長安店,基隆市七堵區明德三路45號1樓,02-66375162,ok,24hr,
基隆定國店,基隆市中山區西定路110巷36號,02-66375117,ok,24hr,
基隆延平店,基隆市仁愛區仁二路75號,02-66375171,ok,24hr,
基隆光華店,基隆市仁愛區成功一路133巷42-1號,02-66375115,ok,24hr,
基隆信五店,基隆市中正區義二路174號1樓,02-66375183,ok,24hr,
基隆源遠店,基隆市暖暖區源遠路299號,02-66375139,ok,24hr,
七堵永平店,基隆市七堵區自治北街12、14號,02-66375962,ok,24hr,
八堵八中店,基隆市暖暖區八堵路82號,02-66375163,ok,24hr,
基隆百三店,基隆市七堵區百三街81號,02-66375125,ok,24hr,
基隆居仁店,基隆市中山區中華路93號1樓,02-66375176,ok,24hr,
基隆愛一店,基隆市仁愛區愛一路26號1樓,02-66375188,ok,24hr,
基隆樂利店,基隆市安樂區樂利三街68號,02-66375113,ok,24hr,
基隆暖碇店,基隆市暖暖區源遠路190號1樓,02-66375576,ok,24hr,
基隆建心店,基隆市中正區祥豐街95-1.95-2號,02-66375158,ok,24hr,
基隆新城店,基隆市安樂區樂利三街130號,02-66375107,ok,24hr,
基隆暖暖店,基隆市暖暖區暖暖街118號,02-66375153,ok,24hr,
基隆愛九店,基隆市仁愛區愛九路10號1樓,02-66375178,ok,24hr,
基隆新基金店,基隆市安樂區基金一路200號,02-66375903,ok,24hr,
基隆三坑店,基隆市仁愛區龍安街200之1號1樓,02-66375179,ok,24hr,
基隆海洋店,基隆市中正區新豐街420.422號1樓,02-66375119,ok,24hr,
基隆文化店,基隆市中山區文化路132號,02-66375155,ok,24hr,
基隆武德店,基隆市安樂區基金一路208巷110號,02-66375146,ok,24hr,
基隆南新店,基隆市仁愛區南新街60號,02-66375129,ok,24hr,
七堵南興店,基隆市七堵區南興路82號,02-66375161,ok,24hr,
基隆慶城店,基隆市中山區中和路168巷9弄21號1樓,02-66375187,ok,24hr,
基隆東信店,基隆市信義區東信路290號,02-66375118,ok,24hr,
基隆崇右門市,基隆市信義區義七路40號(格致樓一樓),02-66377250,ok,24hr,
七堵百福店,基隆市七堵區實踐路284號1樓,02-66375906,ok,24hr,
基隆祥豐店,基隆市中正區祥豐街321號,02-66375122,ok,24hr,
基隆崇德店,基隆市安樂區永康里崇德路8之5號,02-66375172,ok,24hr,
基隆德和店,基隆市中山區復興路212巷5弄4號1樓,02-66377329,ok,24hr,
基隆過港店,基隆市暖暖區過港路32號,02-66375143,ok,24hr,
基隆東安店,基隆市信義區東信路3巷1號,02-66375132,ok,24hr,
基隆署醫門市,基隆市信義區信二路268號,02-66375190,ok,24hr,
五堵北基店,基隆市七堵區明德三路102號1樓,02-66375185,ok,24hr,
基隆銘傳店,基隆市仁愛區劉銘傳路15號,02-66375148,ok,24hr,
基隆麥金店,基隆市安樂區麥金路197號1樓,02-66375180,ok,24hr,
基隆聖心店,基隆市中山區西定路254號,02-66375123,ok,24hr,
基隆孝四店,基隆市仁愛區孝四路11號,02-66375112,ok,24hr,
基隆中山店,基隆市中山區中山二路65巷1號,02-66375147,ok,24hr,
基隆獅球店,基隆市仁愛區獅球路41號1樓,02-66375182,ok,24hr,
基隆和一店,基隆市中正區和一路86.88號,02-66375133,ok,24hr,
基隆信六店,基隆市中正區義二路191號1樓,02-66375138,ok,24hr,
基隆信義店,基隆市信義區信二路28號,02-66375165,ok,24hr,
基隆新富店,基隆市中正區新豐街251巷7弄35.37號,02-66375130,ok,24hr,
基隆富民店,基隆市七堵區明德一路104號1樓及地下室1樓,02-66376296,ok,24hr,
基隆中興店,基隆市信義區信二路93號1樓,02-66375110,ok,24hr,
基隆永富店,基隆市七堵區永富路55號1樓,02-66375579,ok,24hr,
基隆富貴店,基隆市信義區深澳坑路2-3號,02-66375169,ok,24hr,
基隆東碇店,基隆市暖暖區源遠路251-1號,02-66374111,ok,24hr,
基隆中正店,基隆市中正區中正路164之8號,02-66375106,ok,24hr,
基隆實踐店,基隆市七堵區實踐路86號,02-66375145,ok,24hr,
基隆安平店,基隆市中山區中山一路115號1樓,02-66375156,ok,24hr,
基隆南榮店,基隆市仁愛區南榮路7號,02-66375120,ok,24hr,
基隆市府店,基隆市中正區中正路4號1樓+B1,02-66375758,ok,24hr,
基隆武聖店,基隆市安樂區基金三路48號1樓,02-66375170,ok,24hr,
基隆和平店,基隆市中正區中正路762號,02-66375121,ok,24hr,
基隆新民店,基隆市中山區中山一路25號,02-66375166,ok,24hr,
基隆榮昌店,基隆市中正區中正路482號,02-66375152,ok,24hr,
基隆八堵店,基隆市暖暖區源遠路6號,02-66375141,ok,24hr,
台鐵七堵門市,基隆市七堵區東新街2號(七堵站一樓C區商場),02-66370436,ok,24hr,
八斗子店,基隆市中正區北寧路327號1樓,02-66375175,ok,24hr,
八德路店,台北市松山區八德路四段38號,02-66170766,ok,24hr,
福林店,台北市士林區中山北路五段702號,02-66170259,ok,24hr,
中原店,台北市中山區中原街41號,02-66171641,ok,24hr,
松山光復店,台北市松山區光復北路32號1樓,02-66172618,ok,24hr,
木柵保儀店,台北市文山區保儀路100號,02-66172120,ok,24hr,
內湖民權店,台北市內湖區民權東路6段296巷33號,02-66172249,ok,24hr,
文山久康店,台北市文山區久康街1號,02-66172491,ok,24hr,
汀州路店,台北市中正區汀州路三段109號,02-66170672,ok,24hr,
台北瓏山林店,台北市內湖區康樂街200號,02-66172142,ok,24hr,
台北金華店,台北市大安區金華街241-1號,02-66176132,ok,24hr,
台北黎忠店,台北市信義區和平東路三段341巷6號1樓,02-66172349,ok,24hr,
中坡店,台北市信義區中坡南路158號,02-66171675,ok,24hr,
台北松吉店,台北市信義區永吉路278巷27弄36號1樓,02-66172467,ok,24hr,
台北豐達店,台北市松山區敦化北路155巷87號之1,02-66175459,ok,24hr,
台北樂安店,台北市大安區樂業街96號1樓,02-66175843,ok,24hr,
台北撫順店,台北市中山區撫順街21號,02-66172551,ok,24hr,
北醫店,台北市信義區吳興街220巷33號,02-66172040,ok,24hr,
士林朝陽店,台北市士林區大東路78號1樓,02-66172346,ok,24hr,
麟光店,台北市信義區和平東路三段433號,02-66171537,ok,24hr,
台北三興店,台北市信義區基隆路二段39巷3號1樓,02-66172496,ok,24hr,
士林華齡店,台北市士林區華齡街2巷20號,02-66172400,ok,24hr,
東門店,台北市中正區金山南路一段125號,02-66171483,ok,24hr,
內湖碧山店,台北市內湖區內湖路三段91號,02-66172049,ok,24hr,
文山極美店,台北市文山區木柵路一段281、283號,02-66175683,ok,24hr,
內湖明湖店,台北市內湖區東湖路43巷26弄1號,02-66171720,ok,24hr,
台北朱崙店,台北市中山區龍江路47號,02-66172512,ok,24hr,
北投泉源店,台北市北投區泉源路35巷1號,02-66172247,ok,24hr,
北投店,台北市北投區中和街488/490號,02-66171335,ok,24hr,
南港中研店,台北市南港區研究院路二段230號,02-66172442,ok,24hr,
中崙店,台北市松山區八德路三段12巷5弄48號,02-66171949,ok,24hr,
文山木新店,台北市文山區木新路二段242號1樓/B1,02-66172405,ok,24hr,
關渡水鳥店,台北市北投區知行路1號1+2樓,02-66172642,ok,24hr,
北投吉陽店,台北市北投區吉利街257巷3弄17號1樓,02-66172635,ok,24hr,
北投吉利店,台北市北投區吉利街140號,02-66171268,ok,24hr,
北投磺溪店,台北市北投區石牌路二段348巷1號,02-66172293,ok,24hr,
港墘店,台北市內湖區港墘路84號,02-66170386,ok,24hr,
台北鑫吉原店,台北市中山區中原街8號,02-66177795,ok,24hr,
木柵軍功店,台北市文山區軍功路33號1樓,02-66172711,ok,24hr,
台北南港店,台北市南港區舊莊街一段159號1樓,02-66173281,ok,24hr,
延平北路店,台北市大同區延平北路3段115號,02-66171645,ok,24hr,
台北仁愛門市,台北市大安區仁愛路四段10號B1,02-66174185,ok,24hr,
木柵博嘉店,台北市文山區木柵路四段66號1樓,02-66172492,ok,24hr,
士林芝東店,台北市士林區士東路200巷21號1樓,02-66171089,ok,24hr,
北投尊賢店,台北市北投區尊賢街221號,02-66172586,ok,24hr,
關渡知行店,台北市北投區知行路75-8號,02-66171730,ok,24hr,
虎林店,台北市信義區虎林街72號,02-66171646,ok,24hr,
內湖安湖店,台北市內湖區東湖路113巷49弄72號1樓,02-66130076,ok,24hr,
台北錦三店,台北市松山區三民路137號,02-66172611,ok,24hr,
大直永安店,台北市中山區北安路554巷49號,02-66172398,ok,24hr,
康寧店,台北市內湖區康寧路三段189巷21弄26號,02-66177362,ok,24hr,
士林海光店,台北市士林區延平北路五段177號1樓,02-66172490,ok,24hr,
文山忠順店,台北市文山區興隆路四段68之6號1.2樓,02-66170820,ok,24hr,
來來文大門市,台北市大安區和平東路二段49-1號1樓,02-66173712,ok,24hr,
台北福和店,台北市中正區羅斯福路三段244巷7-1號,02-66175737,ok,24hr,
士林後港店,台北市士林區後港街152-2號,02-66172422,ok,24hr,
石牌懷德店,台北市北投區懷德街39號1樓,02-66172352,ok,24hr,
大同樹德店,台北市大同區民族西路122號,02-66172449,ok,24hr,
松山永春店,台北市信義區信義路六段74號,02-66170726,ok,24hr,
萬大店,台北市萬華區萬大路423巷12號,02-66171532,ok,24hr,
文山新光店,台北市文山區新光路一段97號,02-66172445,ok,24hr,
北投復興店,台北市北投區復興四路23號1樓+地下室,02-66172540,ok,24hr,
開封店,台北市萬華區開封街二段84號,02-66170520,ok,24hr,
台北萬美店,台北市文山區辛亥路四段99號,02-66172243,ok,24hr,
士林天北店,台北市士林區天母北路12號1樓,02-66179068,ok,24hr,
北投吉運店,台北市北投區石牌路一段39巷124號1樓,02-66172248,ok,24hr,
中正三元店,台北市中正區和平西路二段70巷15弄3號,02-66172451,ok,24hr,
台北吉林店,台北市中山區吉林路163號1樓,02-66130025,ok,24hr,
大同重北店,台北市大同區重慶北路三段278之2號,02-66130876,ok,24hr,
致遠店,台北市北投區致遠一路一段44號,02-66171943,ok,24hr,
台北新德惠店,台北市中山區德惠街178號,02-66175112,ok,24hr,
社子永倫店,台北市士林區永平街27號1樓,02-66172401,ok,24hr,
台北酒泉店,台北市大同區酒泉街225/227號,02-66172140,ok,24hr,
富錦店,台北市松山區三民路138號,02-66171636,ok,24hr,
台北銘德店,台北市萬華區萬大路424巷112之5號1樓,02-66172181,ok,24hr,
萬芳店,台北市文山區興隆路三段118號,02-66171948,ok,24hr,
士林通河店,台北市士林區通河街141巷1號,02-66172263,ok,24hr,
南港成德店,台北市南港區成福路212號,02-66172048,ok,24hr,
石牌榮總店,台北市北投區石牌路二段313號1樓,02-66172648,ok,24hr,
士林和豐店,台北市士林區和豐街39巷2號,02-66172598,ok,24hr,
台北景聯店,台北市信義區吳興街110號1樓,02-66172415,ok,24hr,
文山再興店,台北市文山區興隆路四段55號1樓,02-66172463,ok,24hr,
三民店,台北市松山區三民路113巷1號,02-66170161,ok,24hr,
北安店,台北市中山區北安路476號,02-66172043,ok,24hr,
華山店,台北市中正區紹興北街8-1號,02-66170589,ok,24hr,
台北延壽店,台北市松山區延壽街101號,02-66171945,ok,24hr,
大同民族店,台北市大同區民族西路223之17號1樓,02-66172637,ok,24hr,
文山景興店,台北市文山區景興路40號,02-66171895,ok,24hr,
北投會館門市,台北市北投區大業路527巷88號B1,02-66172643,ok,24hr,
台北撫遠店,台北市松山區撫遠街382號1樓,02-66172513,ok,24hr,
信義崇安店,台北市信義區信安街149號1樓,02-66172455,ok,24hr,
文山萬安店,台北市文山區萬美街一段47號1+2樓,02-66172315,ok,24hr,
南港玉成店,台北市南港區玉成街82號,02-66179197,ok,24hr,
士林克強店,台北市士林區中山北路六段193號,02-66172042,ok,24hr,
內湖成功店,台北市內湖區成功路三段69號1樓,02-66172412,ok,24hr,
信義雙和店,台北市信義區吳興街284巷21弄2號,02-66175981,ok,24hr,
台北同安店,台北市中正區同安街69巷2號,02-66172411,ok,24hr,
內湖康樂店,台北市內湖區康樂街162巷1號,02-66171643,ok,24hr,
士林天玉店,台北市士林區天母北路89號1樓,02-66172476,ok,24hr,
台北蓬萊店,台北市大同區太原路153號1樓,02-66171946,ok,24hr,
台北劍潭店,台北市士林區承德路四段130號1樓.B1,02-66172301,ok,24hr,
天母公園店,台北市士林區中山北路七段81巷8號1樓,02-66172645,ok,24hr,
信安店,台北市大安區臥龍街151巷35號,02-66171942,ok,24hr,
北投中央店,台北市北投區中央北路一段206/208號,02-66171731,ok,24hr,
成福店,台北市南港區成福路44號,02-66171815,ok,24hr,
富陽店,台北市信義區富陽街70號,02-66171738,ok,24hr,
士林士商店,台北市士林區士商路51號1樓,02-66170931,ok,24hr,
大同圓環店,台北市大同區南京西路258號,02-66172487,ok,24hr,
信義北城店,台北市信義區莊敬路393號,02-66172425,ok,24hr,
金山南路店,台北市大安區金山南路二段113號,02-66170562,ok,24hr,
台北力行店,台北市中山區南京東路三段114號,02-66177199,ok,24hr,
新光門市,台北市士林區文昌路95號地下3樓,02-66171795,ok,24hr,
景美武功店,台北市文山區羅斯福路五段220號,02-66172231,ok,24hr,
北投西安店,台北市北投區致遠二路123號,02-66172423,ok,24hr,
萬華光復店,台北市萬華區西園路二段320巷11號,02-66171550,ok,24hr,
士林捷運門市,台北市士林區福德路1號,02-66131219,ok,24hr,
石牌店,台北市北投區石牌路一段166巷93號,02-66171739,ok,24hr,
北藝大門市,台北市北投區學園路1號,02-66172697,ok,24hr,
亞都店,台北市中山區民權東路二段71巷7號,02-66171699,ok,24hr,
興隆店,台北市文山區興隆路一段138號,02-66171715,ok,24hr,
內湖新明店,台北市內湖區新明路316號,02-66172432,ok,24hr,
北投唭哩岸店,台北市北投區立農街一段277號1樓,02-66178796,ok,24hr,
汐止汐萬店,新北市汐止區汐萬路一段355號,02-66375073,ok,24hr,
新店全科店,新北市新店區寶橋路235巷128號1樓,02-66377701,ok,24hr,
中和德光店,新北市中和區德光路70號,02-66372439,ok,24hr,
中和福美店,新北市中和區福美路310號1樓,02-66375071,ok,24hr,
三芝育英店,新北市三芝區育英街1號,02-66371647,ok,24hr,
樹人家商店,新北市樹林區大安路251號1樓,02-66375038,ok,24hr,
深坑百合店,新北市深坑區北深路一段38號1樓,02-66375092,ok,24hr,
板橋福星店,新北市板橋區重慶路218號1樓,02-66375082,ok,24hr,
新店三民店,新北市新店區三民路38號,02-66370766,ok,24hr,
汐止忠孝店,新北市汐止區樟樹一路119巷25號1樓,02-66375093,ok,24hr,
鶯歌福安店,新北市鶯歌區鶯桃路388號,02-66375020,ok,24hr,
泰山明大店,新北市泰山區工專路61號1樓,02-66372443,ok,24hr,
板橋自由店,新北市板橋區自由路36號,02-66371491,ok,24hr,
三峽公園店,新北市三峽區文化路266-13號,02-66375023,ok,24hr,
新莊民本店,新北市新莊區民本街22號1樓,02-66375021,ok,24hr,
三峽學勤店,新北市三峽區學勤路180號1樓,02-66377671,ok,24hr,
土城承天店,新北市土城區南天母路10號1樓,02-66371909,ok,24hr,
汐止橫科店,新北市汐止區橫科路25號1樓,02-66375105,ok,24hr,
板橋萬板店,新北市板橋區莊敬路168號,02-66370646,ok,24hr,
中和員穗店,新北市中和區員山路468號,02-66372157,ok,24hr,
平埔店,新北市深坑區文化街76號,02-66372407,ok,24hr,
中和廣福店,新北市中和區廣福路30號,02-66375008,ok,24hr,
竹圍民生店,新北市淡水區竹圍民生路119號1樓,02-66375030,ok,24hr,
永和民享店,新北市永和區民享街4號,02-66371641,ok,24hr,
三重中正南店,新北市三重區中正南路117號,02-66373141,ok,24hr,
汐止厚德店,新北市汐止區樟樹一路135巷19號,02-66372542,ok,24hr,
漁人碼頭門市,新北市淡水區觀海路201號1樓,02-66377091,ok,24hr,
金山仁愛店,新北市金山區中山路145號1樓,02-66372479,ok,24hr,
板橋溪北店,新北市板橋區溪北路51號,02-66372043,ok,24hr,
永和博愛店,新北市永和區永和路二段298號,02-66373947,ok,24hr,
下奎柔山店,新北市淡水區淡金路三段333號,02-66373140,ok,24hr,
鶯歌永和店,新北市鶯歌區永和街126、128號1樓,02-66377089,ok,24hr,
汐止光明店,新北市汐止區大同路二段521號1樓,02-66375033,ok,24hr,
林口文化店,新北市林口區文化二路一段68號,02-66375022,ok,24hr,
新店福民店,新北市新店區中央路206號,02-66375036,ok,24hr,
淡水中山店,新北市淡水區中山北路一段102號,02-66371840,ok,24hr,
板橋新海店,新北市板橋區新海路80號1樓,02-66375049,ok,24hr,
新店景大門市,新北市新店區安忠路99號,02-66373648,ok,24hr,
新莊福華店,新北市新莊區中華路二段208號1樓,02-66375095,ok,24hr,
中和民利店,新北市中和區民利街12號,02-66375018,ok,24hr,
汐止福德店,新北市汐止區福德一路197號,02-66373245,ok,24hr,
三芝淺水灣店,新北市三芝區土地公坑54-6號1樓,02-66375026,ok,24hr,
汐止水源店,新北市汐止區水源路一段275號1樓,02-66375100,ok,24hr,
新店中華店,新北市新店區中華路68號,02-66373741,ok,24hr,
蘆洲中原店,新北市蘆洲區長安街191號1樓,02-66373748,ok,24hr,
蘆洲正義店,新北市蘆洲區中原路12巷25號,02-66372114,ok,24hr,
汐止汐平店,新北市汐止區汐平路一段1號1-3樓,02-66375069,ok,24hr,
蘆洲中山店,新北市蘆洲區中山二路77號,02-66371591,ok,24hr,
台鐵瑞芳門市,新北市瑞芳區明燈路三段82號,02-66375101,ok,24hr,
瑞芳中正店,新北市瑞芳區東和路1號,02-66375043,ok,24hr,
中和新生店,新北市中和區新生街240號,02-66375010,ok,24hr,
新店香坡店,新北市新店區安祥路102巷28號,02-66375098,ok,24hr,
淡水學府店,新北市淡水區學府路104號,02-66373046,ok,24hr,
新莊昌平店,新北市新莊區昌平街2號,02-66372147,ok,24hr,
汐止大同店,新北市汐止區大同路三段85號,02-66375027,ok,24hr,
板橋民正店,新北市板橋區三民路二段186巷40號1樓,02-66375077,ok,24hr,
淡水正東店,新北市淡水區中正東路一段55號,02-66375025,ok,24hr,
板橋亞東店,新北市板橋區四川路二段119號,02-66375037,ok,24hr,
瑞芳中央店,新北市瑞芳區中央路47號,02-66375015,ok,24hr,
新莊思源店,新北市新莊區福壽街156號,02-66371942,ok,24hr,
蘆洲民族店,新北市蘆洲區民族路502號1樓,02-66375079,ok,24hr,
土城學士店,新北市土城區學士路17號,02-66373749,ok,24hr,
五堵摩天店,新北市汐止區大同路三段611號之5/6,02-66373840,ok,24hr,
三重三民店,新北市三重區三民街270號,02-66373061,ok,24hr,
永和智光店,新北市永和區民有街11號1樓,02-66375270,ok,24hr,
汐止新台店,新北市汐止區大同路一段169號1樓,02-66375047,ok,24hr,
鶯歌大湖店,新北市鶯歌區大湖路466號,02-66373481,ok,24hr,
新莊民安店,新北市新莊區民安東路127號1樓,02-66371677,ok,24hr,
新店黎明店,新北市新店區黎明路43/45號,02-66373541,ok,24hr,
汐止大湖店,新北市汐止區明峰街328號,02-66375836,ok,24hr,
泰山雙楓店,新北市泰山區楓江路39之2號,02-66375041,ok,24hr,
泰山貴賢店,新北市泰山區明志路三段141號,02-66373406,ok,24hr,
八里龍米店,新北市八里區龍米路一段430號,02-66374240,ok,24hr,
三重仁愛店,新北市三重區仁愛街479號,02-66373340,ok,24hr,
土城中央店,新北市土城區中央路一段182號,02-66372643,ok,24hr,
汐止金龍店,新北市汐止區明峰街120號,02-66378067,ok,24hr,
泰山貴陽店,新北市泰山區明志路三段353號,02-66375042,ok,24hr,
板橋崑崙店,新北市板橋區大觀路三段160巷36號,02-66375078,ok,24hr,
三峽介壽店,新北市三峽區介壽路一段320號,02-66375035,ok,24hr,
中和景安店,新北市中和區景安路209號,02-66375051,ok,24hr,
汐止中興店,新北市汐止區大同路一段325號,02-66375097,ok,24hr,
汐止祥雲店,新北市汐止區祥雲街2號,02-66375048,ok,24hr,
鶯歌永昌店,新北市鶯歌區鶯桃路97之3號1樓,02-66375012,ok,24hr,
瑞芳瑞工店,新北市瑞芳區頂坪路瑞芳工業區108號,02-66370121,ok,24hr,
板橋華僑店,新北市板橋區僑中二街90巷2號1樓,02-66375032,ok,24hr,
三重福利旺店,新北市三重區過圳街16號1樓,02-66372401,ok,24hr,
汐止康興店,新北市汐止區中興路236號,02-66375040,ok,24hr,
金山金美店,新北市金山區中山路235號,02-66377693,ok,24hr,
竹圍民族店,新北市淡水區民族路51號1樓,02-66375009,ok,24hr,
汐止社福店,新北市汐止區福德三路16號1樓,02-66375061,ok,24hr,
土城永豐店,新北市土城區永豐路149之2號1樓,02-66375508,ok,24hr,
泰山台麗店,新北市泰山區明志路三段202號,02-66375045,ok,24hr,
板橋大華店,新北市板橋區四川路一段170號,02-66375908,ok,24hr,
瑞芳店,新北市瑞芳區明燈路三段84號,02-66371240,ok,24hr,
中和景興店,新北市中和區景新街427號1樓,02-66375086,ok,24hr,
三重成功店,新北市三重區成功路97號,02-66370148,ok,24hr,
中和宜安店,新北市中和區宜安路49號1樓,02-66375058,ok,24hr,
土城學成店,新北市土城區學成路110號1樓,02-66373403,ok,24hr,
傑魚坑店,新北市瑞芳區傑魚坑路55號,02-66373548,ok,24hr,
中和員山店,新北市中和區員山路421號,02-66373642,ok,24hr,
新店崇光店,新北市新店區三民路119號,02-66372423,ok,24hr,
汐止新峰店,新北市汐止區仁愛路111號1樓,02-66378070,ok,24hr,
汐止湖前店,新北市汐止區湖前街33號1樓,02-66375039,ok,24hr,
鶯歌永吉店,新北市鶯歌區鶯桃路208號1樓,02-66372047,ok,24hr,
板橋大仁店,新北市板橋區大仁街80號,02-66375072,ok,24hr,
板橋懷仁店,新北市板橋區懷仁街8號,02-66375006,ok,24hr,
樹林千歲店,新北市樹林區保安二街40號,02-66375052,ok,24hr,
八里華城店,新北市八里區中華路二段468號、470號1樓,02-66375085,ok,24hr,
新店五峰店,新北市新店區中正路61號,02-66372847,ok,24hr,
台鐵浮洲門市,新北市板橋區僑中二街156號,02-66371209,ok,24hr,
深坑北深店,新北市深坑區北深路二段53號1樓,02-66375080,ok,24hr,
泰山泰林店,新北市泰山區泰林路二段192號,02-66373646,ok,24hr,
中和秀峰店,新北市中和區秀峰街117號,02-66373949,ok,24hr,
新莊建安店,新北市新莊區建安街90-1號,02-66372487,ok,24hr,
淡水站前店,新北市淡水區中正路11-7號1樓,02-66375005,ok,24hr,
新莊幸福店,新北市新莊區幸福路712號,02-66373427,ok,24hr,
